epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.72346,1.98907,3.23516,2.57364,0.00335,1,0.35824,0.10856,1.60848,4.12175,3.28957,1.429e-05,1.429e-05,1.429e-05
2,7.15974,1.97082,3.22783,2.53394,0.00336,1,0.42657,0.13604,1.5209,4.17685,3.15704,4.07479e-05,4.07479e-05,4.07479e-05
3,10.251,1.65481,3.15019,2.20764,0.00334,1,0.47843,0.16206,1.53185,4.106,3.13107,6.43764e-05,6.43764e-05,6.43764e-05
4,13.4698,1.8426,3.24078,2.40814,0.00337,1,0.50239,0.18432,1.51313,3.98132,2.9496,8.51755e-05,8.51755e-05,8.51755e-05
5,17.3302,1.98888,3.2791,2.525,0.00343,1,0.52378,0.18266,1.43041,4.01347,2.81064,0.000103145,0.000103145,0.000103145
6,20.9824,1.68201,3.02659,2.21913,0.00347,1,0.43412,0.16265,1.26362,4.00711,2.65077,0.000118285,0.000118285,0.000118285
7,24.6839,1.70384,3.11522,2.31568,0.00354,1,0.54456,0.20659,1.1223,4.00721,2.49896,0.000130596,0.000130596,0.000130596
8,28.6285,1.46837,3.11689,2.09993,0.00367,1,0.46392,0.21718,1.018,4.01596,2.36135,0.000140078,0.000140078,0.000140078
9,32.4096,1.43258,2.96872,1.99634,0.00381,1,0.38727,0.13936,1.0806,4.01138,2.40261,0.00014673,0.00014673,0.00014673
10,36.2445,1.35865,2.88246,1.92786,0.00392,1,0.3835,0.15792,1.13642,4.0669,2.43171,0.000150552,0.000150552,0.000150552
11,39.8393,1.44334,3.48217,2.09126,0.00398,1,0.43377,0.18032,1.17743,4.0573,2.48861,0.000151545,0.000151545,0.000151545
12,43.1023,1.48536,3.65075,2.39081,0.00398,1,0.43377,0.18032,1.17743,4.0573,2.48861,0.000149709,0.000149709,0.000149709
13,46.6773,1.25479,3.27111,2.13018,0.00411,1,0.52467,0.22111,1.21918,4.03406,2.55969,0.000145044,0.000145044,0.000145044
14,50.3799,1.05976,3.24172,1.96723,0.00423,1,0.53022,0.21548,1.19158,4.08251,2.49031,0.000137548,0.000137548,0.000137548
15,54.136,1.03641,3.39417,1.93972,0.00423,1,0.53022,0.21548,1.19158,4.08251,2.49031,0.000127224,0.000127224,0.000127224
16,57.8439,0.95462,2.88936,1.97683,0.00427,1,0.64506,0.26583,1.13411,4.14408,2.47545,0.00011407,0.00011407,0.00011407
17,61.765,1.03057,2.83335,1.88841,0.00417,1,0.64903,0.27796,1.2,4.05774,2.46754,9.80866e-05,9.80866e-05,9.80866e-05
18,65.7521,1.17532,2.88146,2.01252,0.00417,1,0.64903,0.27796,1.2,4.05774,2.46754,7.92738e-05,7.92738e-05,7.92738e-05
19,69.2238,1.18578,2.81252,2.01647,0.00417,1,0.67467,0.31598,1.20132,3.99437,2.54502,5.76316e-05,5.76316e-05,5.76316e-05
20,73.1323,1.08914,2.85737,2.02152,0.00417,1,0.67467,0.31598,1.20132,3.99437,2.54502,3.31599e-05,3.31599e-05,3.31599e-05
